Event_Date,Over3,Over4,Over5,Over6
1938.2466,0,0,0,0
1938.2493,0,0,0,0
1938.2521,0,0,0,0
1938.2548,0,0,0,0
1938.2575,0,0,0,0
1938.2603,0,0,0,0
1938.263,0,0,0,0
1938.2658,0,0,0,0
1938.2685,0,0,0,0
1938.2712,0,0,0,0
1938.274,0,0,0,0
1938.2767,0,0,0,0
1938.2795,0,0,0,0
1938.2822,0,0,0,0
1938.2849,0,0,0,0
1938.2877,0,0,0,0
1938.2904,0,0,0,0
1938.2932,0,0,0,0
1938.2959,0,0,0,0
1938.2986,0,0,0,0
1938.3014,0,0,0,0
1938.3041,0,0,0,0
1938.3068,0,0,0,0
1938.3096,0,0,0,0
1938.3123,0,0,0,0
1938.3151,0,0,0,0
1938.3178,0,0,0,0
1938.3205,0,0,0,0
1938.3233,0,0,0,0
1938.326,0,0,0,0
1938.3288,0,0,0,0
1938.3315,0,0,0,0
1938.3342,0,0,0,0
1938.337,0,0,0,0
1938.3397,0,0,0,0
1938.3425,0,0,0,0
1938.3452,0,0,0,0
1938.3479,0,0,0,0
1938.3507,0,0,0,0
1938.3534,0,0,0,0
1938.3562,0,0,0,0
1938.3589,0,0,0,0
1938.3616,0,0,0,0
1938.3644,0,0,0,0
1938.3671,0,0,0,0
1938.3699,0,0,0,0
1938.3726,0,0,0,0
1938.3753,0,0,0,0
1938.3781,0,0,0,0
1938.3808,0,0,0,0
1938.3836,0,0,0,0
1938.3863,0,0,0,0
1938.389,0,0,0,0
1938.3918,0,0,0,0
1938.3945,0,0,0,0
1938.3973,0,0,0,0
1938.4,0,0,0,0
1938.4027,0,0,0,0
1938.4055,0,0,0,0
1938.4082,0,0,0,0
1938.411,0,0,0,0
1938.4137,0,0,0,0
1938.4164,0,0,0,0
1938.4192,0,0,0,0
1938.4219,0,0,0,0
1938.4247,0,0,0,0
1938.4274,0,0,0,0
1938.4301,0,0,0,0
1938.4329,0,0,0,0
1938.4356,0,0,0,0
1938.4384,0,0,0,0
1938.4411,0,0,0,0
1938.4438,0,0,0,0
1938.4466,0,0,0,0
1938.4493,0,0,0,0
1938.4521,0,0,0,0
1938.4548,0,0,0,0
1938.4575,0,0,0,0
1938.4603,0,0,0,0
1938.463,0,0,0,0
1938.4658,0,0,0,0
1938.4685,0,0,0,0
1938.4712,0,0,0,0
1938.474,0,0,0,0
1938.4767,0,0,0,0
1938.4795,0,0,0,0
1938.4822,0,0,0,0
1938.4849,0,0,0,0
1938.4877,0,0,0,0
1938.4904,0,0,0,0
1938.4932,0,0,0,0
1938.4959,0,0,0,0
1938.4986,0,0,0,0
1938.5014,0,0,0,0
1938.5041,0,0,0,0
1938.5068,0,0,0,0
1938.5096,0,0,0,0
1938.5123,0,0,0,0
1938.5151,0,0,0,0
1938.5178,0,0,0,0
1938.5205,0,0,0,0
1938.5233,0,0,0,0
1938.526,0,0,0,0
1938.5288,0,0,0,0
1938.5315,0,0,0,0
1938.5342,0,0,0,0
1938.537,0,0,0,0
1938.5397,0,0,0,0
1938.5425,0,0,0,0
1938.5452,0,0,0,0
1938.5479,0,0,0,0
1938.5507,0,0,0,0
1938.5534,0,0,0,0
1938.5562,0,0,0,0
1938.5589,0,0,0,0
1938.5616,0,0,0,0
1938.5644,0,0,0,0
1938.5671,0,0,0,0
1938.5699,0,0,0,0
1938.5726,0,0,0,0
1938.5753,0,0,0,0
1938.5781,0,0,0,0
1938.5808,0,0,0,0
1938.5836,0,0,0,0
1938.5863,0,0,0,0
1938.589,0,0,0,0
1938.5918,0,0,0,0
1938.5945,0,0,0,0
1938.5973,0,0,0,0
1938.6,0,0,0,0
1938.6027,0,0,0,0
1938.6055,0,0,0,0
1938.6082,0,0,0,0
1938.611,0,0,0,0
1938.6137,0,0,0,0
1938.6164,0,0,0,0
1938.6192,0,0,0,0
1938.6219,0,0,0,0
1938.6247,0,0,0,0
1938.6274,0,0,0,0
1938.6301,0,0,0,0
1938.6329,0,0,0,0
1938.6356,0,0,0,0
1938.6384,0,0,0,0
1938.6411,0,0,0,0
1938.6438,0,0,0,0
1938.6466,0,0,0,0
1938.6493,0,0,0,0
1938.6521,0,0,0,0
1938.6548,0,0,0,0
1938.6575,0,0,0,0
1938.6603,0,0,0,0
1938.663,0,0,0,0
1938.6658,0,0,0,0
1938.6685,0,0,0,0
1938.6712,0,0,0,0
1938.674,0,0,0,0
1938.6767,0,0,0,0
1938.6795,0,0,0,0
1938.6822,0,0,0,0
1938.6849,0,0,0,0
1938.6877,0,0,0,0
1938.6904,0,0,0,0
1938.6932,0,0,0,0
1938.6959,0,0,0,0
1938.6986,0,0,0,0
1938.7014,0,0,0,0
1938.7041,0,0,0,0
1938.7068,0,0,0,0
1938.7096,0,0,0,0
1938.7123,0,0,0,0
1938.7151,0,0,0,0
1938.7178,0,0,0,0
1938.7205,0,0,0,0
1938.7233,0,0,0,0
1938.726,0,0,0,0
1938.7288,0,0,0,0
1938.7315,0,0,0,0
1938.7342,0,0,0,0
1938.737,0,0,0,0
1938.7397,0,0,0,0
1938.7425,0,0,0,0
1938.7452,0,0,0,0
1938.7479,0,0,0,0
1938.7507,0,0,0,0
1938.7534,0,0,0,0
1938.7562,0,0,0,0
1938.7589,0,0,0,0
1938.7616,0,0,0,0
1938.7644,0,0,0,0
1938.7671,0,0,0,0
1938.7699,0,0,0,0
1938.7726,0,0,0,0
1938.7753,0,0,0,0
1938.7781,0,0,0,0
1938.7808,0,0,0,0
1938.7836,0,0,0,0
1938.7863,0,0,0,0
1938.789,0,0,0,0
1938.7918,0,0,0,0
1938.7945,0,0,0,0
1938.7973,0,0,0,0
1938.8,0,0,0,0
1938.8027,0,0,0,0
1938.8055,0,0,0,0
1938.8082,0,0,0,0
1938.811,0,0,0,0
1938.8137,0,0,0,0
1938.8164,0,0,0,0
1938.8192,0,0,0,0
1938.8219,0,0,0,0
1938.8247,0,0,0,0
1938.8274,0,0,0,0
